Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2021-10-28 23:58:00,75.39,-9.19,82.31,-1.74,84.57,-1.7,75.39,84.41388187633318
2021-10-29 23:58:00,75.11,-0.28,74.61,-7.7,75.77,-8.8,75.11,76.70718727879238
2021-11-01 23:58:00,75.47,0.36,74.69,0.08,75.56,-0.21,75.47,75.21322758824228
2021-11-02 23:58:00,75.56,0.09,74.99,0.3,75.7,0.14,75.56,75.57477327437827
2021-11-03 23:58:00,73.66,-1.9,73.05,-1.94,74.71,-0.99,73.66,75.76925679892987
2021-11-04 23:58:00,73.44,-0.22,73.21,0.16,75.56,0.85,73.44,74.06186300897035
2021-11-05 23:58:00,75.38,1.94,73.45,0.24,75.55,-0.01,75.38,73.34226165787432
2021-11-08 23:58:00,75.91,0.53,75.43,1.98,76.06,0.51,75.91,74.8067896784678
2021-11-09 23:58:00,76.45,0.54,75.75,0.32,76.51,0.45,76.45,76.10071093074863
2021-11-10 23:58:00,74.92,-1.53,74.67,-1.08,76.73,0.22,74.92,76.33671335928095
2021-11-11 23:58:00,75.36,0.44,74.47,-0.2,75.49,-1.24,75.36,75.21092168899038
2021-11-12 23:58:00,74.81,-0.55,74.1,-0.37,75.2,-0.29,74.81,75.55103093759057
2021-11-15 23:58:00,74.81,0.0,74.03,-0.07,74.9,-0.3,74.81,75.05966985902135
2021-11-16 23:58:00,75.04,0.23,74.6,0.57,75.54,0.64,75.04,74.67086115262836
2021-11-17 23:58:00,73.62,-1.42,73.33,-1.27,74.85,-0.69,73.62,74.65239457209469
2021-11-18 23:58:00,74.57,0.95,73.08,-0.25,74.57,-0.28,74.57,74.04826267484623
2021-11-19 23:58:00,72.75,-1.82,72.49,-0.59,74.97,0.4,72.75,74.43753125685103
2021-11-22 23:58:00,73.79,1.04,72.0,-0.49,73.83,-1.14,73.79,73.07104583334336
2021-11-23 23:58:00,75.81,2.02,72.99,0.99,76.01,2.18,75.81,73.91764139920821
2021-11-24 23:58:00,75.55,-0.26,75.24,2.25,75.91,-0.1,75.55,75.76674756712542
2021-11-26 13:00:00,67.74,-7.81,67.82,-7.42,75.83,-0.08,67.74,75.40719907761697
2021-11-29 23:58:00,69.48,1.74,68.65,0.83,71.35,-4.48,69.48,68.246308096149
2021-11-30 23:58:00,65.98,-3.5,64.72,-3.93,70.51,-0.84,65.98,69.65619695106835
2021-12-01 23:58:00,65.99,0.01,65.77,1.05,68.65,-1.86,65.99,66.31448401955508
2021-12-02 23:58:00,66.78,0.79,64.14,-1.63,67.28,-1.37,66.78,66.15942872303253
2021-12-03 23:58:00,67.2,0.42,66.66,2.52,68.77,1.49,67.2,66.91858491705253
2021-12-06 23:58:00,69.78,2.58,68.0,1.34,70.2,1.43,69.78,67.33593915620752
2021-12-07 23:58:00,71.93,2.15,69.9,1.9,72.25,2.05,71.93,69.34122686085558
2021-12-08 23:58:00,72.62,0.69,71.36,1.46,72.73,0.48,72.62,71.29549591902861
2021-12-09 23:58:00,71.48,-1.14,70.99,-0.37,73.08,0.35,71.48,72.78609554592114
2021-12-10 23:58:00,71.84,0.36,71.22,0.23,72.4,-0.68,71.84,71.5508483098312
2021-12-13 23:58:00,71.46,-0.38,71.36,0.14,72.6,0.2,71.46,71.94117160792602
2021-12-14 23:58:00,70.94,-0.52,70.24,-1.12,71.76,-0.84,70.94,71.72113611842137
2021-12-15 23:58:00,70.74,-0.2,69.74,-0.5,71.36,-0.4,70.74,71.19413091682098
2021-12-16 23:58:00,71.4,0.66,70.75,1.01,71.9,0.54,71.4,70.62360414850481
2021-12-17 23:58:00,70.02,-1.38,69.52,-1.23,71.2,-0.7,70.02,70.96709378234851
2021-12-20 23:58:00,68.49,-1.53,66.83,-2.69,69.05,-2.15,68.49,70.43877432023659
2021-12-21 23:58:00,70.5,2.01,68.9,2.07,70.71,1.66,70.5,68.63233600446199
2021-12-22 23:58:00,71.16,0.66,69.9,1.0,71.33,0.62,71.16,70.42558746384911
2021-12-23 23:58:00,72.18,1.02,70.81,0.91,72.3,0.97,72.18,71.28592190451837
2021-12-27 23:58:00,73.61,1.43,71.0,0.19,74.03,1.73,73.61,72.24779024082768
2021-12-28 23:58:00,74.02,0.41,73.9,2.9,74.7,0.67,74.02,73.29156542202152
2021-12-29 23:58:00,74.63,0.61,73.67,-0.23,75.06,0.36,74.63,73.59242870076514
2021-12-30 23:58:00,74.96,0.33,74.19,0.52,75.22,0.16,74.96,74.82801220297469
2021-12-31 23:58:00,73.35,-1.61,73.29,-0.9,74.69,-0.53,73.35,74.87088464459289
2022-01-03 23:58:00,74.59,1.24,73.24,-0.05,74.7,0.01,74.59,73.65250907682454
2022-01-04 23:58:00,75.59,1.0,74.59,1.35,75.78,1.08,75.59,74.6933326961197
2022-01-05 23:58:00,75.75,0.16,75.25,0.66,76.25,0.47,75.75,75.657502234196
2022-01-06 23:58:00,76.48,0.73,74.69,-0.56,76.97,0.72,76.48,75.57280048823516
2022-01-07 23:58:00,76.3,-0.18,76.0,1.31,77.23,0.26,76.3,76.03254397373338
2022-01-10 23:58:00,75.73,-0.57,75.47,-0.53,76.76,-0.47,75.73,76.58367515719713
2022-01-11 23:58:00,77.92,2.19,75.9,0.43,77.98,1.22,77.92,75.75052381507565
2022-01-12 23:58:00,78.49,0.57,77.68,1.78,78.82,0.84,78.49,77.81201570823224
2022-01-13 23:58:00,78.33,-0.16,77.77,0.09,78.79,-0.03,78.33,78.62219864140242
2022-01-14 23:58:00,79.49,1.16,78.2,0.43,79.71,0.92,79.49,78.52974447572224
2022-01-18 23:58:00,80.7,1.21,79.19,0.99,81.4,1.69,80.7,79.21627637603237
